UniqueID	CloneID	Symbol	Name	EntrezID
HK1E4	40360	EIF2B5	Eukaryotic translation initiation factor 2B, subunit 5 epsilon, 82kDa	8893
HK1E5	41199	CHAF1B	Chromatin assembly factor 1, subunit B (p60)	8208
HK1E6	41452			
HK1E7	41511			
HK1E8	42059	DLD	Dihydrolipoamide dehydrogenase	1738
HK1E9	42096	CCT3	Chaperonin containing TCP1, subunit 3 (gamma)	7203
HK1E10	42214	SYK	Spleen tyrosine kinase	6850
HK1E11	42352	SLC25A6	Solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 6	293
HK1F2	43021	HARS	Histidyl-tRNA synthetase	3035
HK1F3	43129	TOP1	Topoisomerase (DNA) I	7150
HK1F4	43231	PSMD2	Proteasome (prosome, macropain) 26S subunit, non-ATPase, 2	5708
HK1F5	43338		Transcribed locus, strongly similar to NP_001020804.1 heterogeneous nuclear ribonucleoprotein C [Rattus norvegicus]	
HK1F6	43241		Transcribed locus	
HK1F7	43550	LDHA	Lactate dehydrogenase A	3939
HK1F8	43563	CYP27A1	Cytochrome P450, family 27, subfamily A, polypeptide 1	1593
HK1F9	43622	GRIA2	Glutamate receptor, ionotropic, AMPA 2	2891
HK1F10	44180	A2M	Alpha-2-macroglobulin	2
HK1F11	44255	MRPL3	Mitochondrial ribosomal protein L3	11222
HK1F12	44307	HIST2H2BE	Histone cluster 2, H2be	8349
HK1G1	44537	SNRPB	Small nuclear ribonucleoprotein polypeptides B and B1	6628
HK1G2	45233	CCT6A	Chaperonin containing TCP1, subunit 6A (zeta 1)	908
HK1G3	45941	DNMT1	DNA (cytosine-5-)-methyltransferase 1	1786
HK1G4	46171	EIF4A1	Eukaryotic translation initiation factor 4A1	1973
HK1G6	47202	ARF1	ADP-ribosylation factor 1	375
HK1G7	47833	TUBA1A	Tubulin, alpha 1a	7846
HK1G8	49888	ARL4D	ADP-ribosylation factor-like 4D	379
HK1G9	50117	GAPDH	Glyceraldehyde-3-phosphate dehydrogenase	2597
HK1G10	50359	MPI	Mannose phosphate isomerase	4351
HK1G11	50666	DDOST	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase	1650
HK1G12	50941	CDH13	Cadherin 13, H-cadherin (heart)	1012
HK1H1	51293	ACY1	Aminoacylase 1	95
HK1H2	51666	ERCC3	Excision repair cross-complementing rodent repair deficiency, complementation group 3	2071
HK1H3	51740	HADHB	Hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), beta subunit	3032
HK1H4	53316	MDH1	Malate dehydrogenase 1, NAD (soluble)	4190
HV1A3	50794	ZNF133	Zinc finger protein 133	7692
HV1A4	768644	POMZP3	POM121 and ZP3 fusion	22932
HV1A8	753430	ATRX	Alpha thalassemia/mental retardation syndrome X-linked	546
HV1A9	324901	WNT5A	Wingless-type MMTV integration site family, member 5A	7474
HV1A11	234856	VHL	Von Hippel-Lindau tumor suppressor, E3 ubiquitin protein ligase	7428
HV1B1	755145	EZR	Ezrin	7430
HV1B2	753418	VASP	Vasodilator-stimulated phosphoprotein	7408
HV1B3	34778	VEGFA	Vascular endothelial growth factor A	7422
HV1B7	812965	MYC	V-myc myelocytomatosis viral oncogene homolog (avian)	4609
HV1B11	345839	AKT1	V-akt murine thymoma viral oncogene homolog 1	207
HV1C2	180520	UBE3A	Ubiquitin protein ligase E3A	7337
HV1C8	66686	RPL10	Ribosomal protein L10	6134
HV1C10	124261	SNRNP70	Small nuclear ribonucleoprotein 70kDa (U1)	6625
HV1C12	292996	YWHAH	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide	7533
HV1D1	190491	TSC2	Tuberous sclerosis 2	7249
HV1D3	723986			
HV1D5	306813	ROS1	C-ros oncogene 1 , receptor tyrosine kinase	6098
HV1E2	755821			
HV1E8	810512	THBS1	Thrombospondin 1	7057
HV1E11	241530	EPHA2	EPH receptor A2	1969
HV1F5	191603	TUBB	Tubulin, beta class I	203068
HV1F7	768370			
HV1F12	813459	GTF2E1	General transcription factor IIE, polypeptide 1, alpha 56kDa	2960
HV1G1	771220			
HV1G2	163174	TCEA1	Transcription elongation factor A (SII), 1	6917
HV1G4	246300	TIAL1	TIA1 cytotoxic granule-associated RNA binding protein-like 1	7073
HV1G7	36393	ACAT2	Acetyl-CoA acetyltransferase 2	39
HV1G9	770014	YME1L1	YME1-like 1 (S. cerevisiae)	10730
HV1G10	812276	SNCA	Synuclein, alpha (non A4 component of amyloid precursor)	6622
HV1G11	126858	SOAT1	Sterol O-acyltransferase 1	6646
HV1H1	809535	SRSF2	Serine/arginine-rich splicing factor 2	6427
HV1H2	128875	ATXN2	Ataxin 2	6311
HV1H3	359835	SAT1	Spermidine/spermine N1-acetyltransferase 1	6303
HV1H4	320763	SP3	Sp3 transcription factor	6670
HV1H5	205303	SRI	Sorcin	6717
HV1H6	810873	SCNN1A	Sodium channel, non-voltage-gated 1 alpha subunit	6337
HV1H7	812227	SLC9A1	Solute carrier family 9, subfamily A (NHE1, cation proton antiporter 1), member 1	6548
HV1H9	190732	SLC2A5	Solute carrier family 2 (facilitated glucose/fructose transporter), member 5	6518
HV1H12	823886	MYH10	Myosin, heavy chain 10, non-muscle	4628
HV2A2	486544			
HV2A4	768561	CCL2	Chemokine (C-C motif) ligand 2	6347
HV2A5	49970	SSB	Sjogren syndrome antigen B (autoantigen La)	6741
HV2A6	754998	SRP19	Signal recognition particle 19kDa	6728
HV2A11	49591	STS	Steroid sulfatase (microsomal), isozyme S	412
HV2B1	47542	SNRPD1	Small nuclear ribonucleoprotein D1 polypeptide 16kDa	6632
HV2B4	161456	SAA1	Serum amyloid A1	6288
HV2B7	39798	SHMT1	Serine hydroxymethyltransferase 1 (soluble)	6470
HV2B8	40704	SEC14L1	SEC14-like 1 (S. cerevisiae)	6397
HV2B9	149013	AMD1	Adenosylmethionine decarboxylase 1	262
HV2B10	135221	S100P	S100 calcium binding protein P	6286
HV2C1	809578	RPS5	Ribosomal protein S5	6193
HV2C2	51981	RPL7A	Ribosomal protein L7a	6130
HV2C3	322561	RPL31	Ribosomal protein L31	6160
HV2C5	810617			
HV2C6	549101			
HV2C10	810802	CLIP1	CAP-GLY domain containing linker protein 1	6249
HV2C11	26616	RPA2	Replication protein A2, 32kDa	6118
HV2C12	204299	RPA3	Replication protein A3, 14kDa	6119
HV2D1	203275	RFC4	Replication factor C (activator 1) 4, 37kDa	5984
HV2D2	214537	RFC1	Replication factor C (activator 1) 1, 145kDa	5981
HV2D3	159118	RHOG	Ras homolog family member G	391
HV2D5	214133	BRD2	Bromodomain containing 2	6046
HV2D9	280752	AKTIP	AKT interacting protein	64400
HV2D12	47559	RAB5A	RAB5A, member RAS oncogene family	5868
HV2E1	230205	RAB4A	RAB4A, member RAS oncogene family	5867
HV2E2	150221	RAB1A	RAB1A, member RAS oncogene family	5861
HV2E3	30093	RANBP1	RAN binding protein 1	5902
HV2E6	340630		Transcribed locus, strongly similar to XP_001136851.1 PREDICTED: hypothetical protein isoform 1 [Pan troglodytes]	
HV2E7	756452	TYK2	Tyrosine kinase 2	7297
HV2E8	813742			
HV2E12	770901	PTPN9	Protein tyrosine phosphatase, non-receptor type 9	5780
HV2F2	321661			
HV2F4	132911	PPP1CB	Protein phosphatase 1, catalytic subunit, beta isozyme	5500
HV2F5	359184	EIF2AK2	Eukaryotic translation initiation factor 2-alpha kinase 2	5610
HV2F6	811012	PRKAR1B	Protein kinase, cAMP-dependent, regulatory, type I, beta	5575
HV2F8	167280	PRKCZ	Protein kinase C, zeta	5590
HV2G1	134544	PSMA1	Proteasome (prosome, macropain) subunit, alpha type, 1	5682
HV2G2	529861	PSMB6	Proteasome (prosome, macropain) subunit, beta type, 6	5694
HV2G8	812048		Transcribed locus	
HV2G11	130541	PECAM1	Platelet/endothelial cell adhesion molecule 1	5175
HV2G12	40643	PDGFRB	Platelet-derived growth factor receptor, beta polypeptide	5159
HV2H3	810017	PLAUR	Plasminogen activator, urokinase receptor	5329
HV2H5	244307	SERPINE1	Serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1	5054
HV2H7	809981	GPX4	Glutathione peroxidase 4	2879
HV2H8	204897	PLCG2	Phospholipase C, gamma 2 (phosphatidylinositol-specific)	5336
HV2H9	51916	PLCB4	Phospholipase C, beta 4	5332
HV3A2	162211	ABCD3	ATP-binding cassette, sub-family D (ALD), member 3	5825
HV3A5	140806	PAM	Peptidylglycine alpha-amidating monooxygenase	5066
HV3A8	45556	MARK3	MAP/microtubule affinity-regulating kinase 3	4140
HV3A10	207082	GNPDA1	Glucosamine-6-phosphate deaminase 1	10007
HV3A11	770670	TNFAIP3	Tumor necrosis factor, alpha-induced protein 3	7128
HV3B1	34773	PTPN11	Protein tyrosine phosphatase, non-receptor type 11	5781
HV3B3	770027	PPP2R1A	Protein phosphatase 2, regulatory subunit A, alpha	5518
HV3B4	769657	PPP1R2	Protein phosphatase 1, regulatory (inhibitor) subunit 2	5504
HV3B5	509495	PSMA6	Proteasome (prosome, macropain) subunit, alpha type, 6	5687
HV3B6	68977	PSMB10	Proteasome (prosome, macropain) subunit, beta type, 10	5699
HV3B11	49920	PTDSS1	Phosphatidylserine synthase 1	9791
HV3B12	345430	PIK3CA	Phosphoinositide-3-kinase, catalytic, alpha polypeptide	5290
HV3C1	194804	PITPNA	Phosphatidylinositol transfer protein, alpha	5306
HV3C3	43884	PPIF	Peptidylprolyl isomerase F	10105
HV3C4	162775	DDX5	DEAD (Asp-Glu-Ala-Asp) box helicase 5	1655
HV3C8	128159	TPR	Translocated promoter region, nuclear basket protein	7175
HV3C10	770452	TIA1	TIA1 cytotoxic granule-associated RNA binding protein	7072
HV3C11	308281			
HV3C12	299388	NUTF2	Nuclear transport factor 2	10204
HV3D1	809627	NRIP1	Nuclear receptor interacting protein 1	8204
HV3D2	725473	KLRK1	Killer cell lectin-like receptor subfamily K, member 1	22914
HV3D4	741497	LCN2	Lipocalin 2	3934
HV3D5	753457	NDUFS1	NADH dehydrogenase (ubiquinone) Fe-S protein 1, 75kDa (NADH-coenzyme Q reductase)	4719
HV3D6	813387	NQO1	NAD(P)H dehydrogenase, quinone 1	1728
HV3D7	813279	APEH	N-acylaminoacyl-peptide hydrolase	327
HV3D9	36493	NAGA	N-acetylgalactosaminidase, alpha-	4668
HV3E5	154707	MPV17	MpV17 mitochondrial inner membrane protein	4358
HV3E6	131362	MSN	Moesin	4478
HV3E7	809557	MCM3	Minichromosome maintenance complex component 3	4172
HV3E10	296880	MPP1	Membrane protein, palmitoylated 1, 55kDa	4354
HV3E11	200814	MME	Membrane metallo-endopeptidase	4311
HV3F1	470393	MMP7	Matrix metallopeptidase 7 (matrilysin, uterine)	4316
HV3F6	212496	MAN2A1	Mannosidase, alpha, class 2A, member 1	4124
HV3F7	82879	MBL2	Mannose-binding lectin (protein C) 2, soluble	4153
HV3F12	768316			
HV3G2	44255	MRPL3	Mitochondrial ribosomal protein L3	11222
HV3G5	544664		Transcribed locus	
HV3G7	340734	NFKBIA	Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	4792
HV3G9	771323	PLOD1	Procollagen-lysine, 2-oxoglutarate 5-dioxygenase 1	5351
HV3G10	289615	LAMP2	Lysosomal-associated membrane protein 2	3920
HV3G11	813823	LUM	Lumican	4060
HV3G12	770012	KCNH2	Potassium voltage-gated channel, subfamily H (eag-related), member 2	3757
HV3H2	153025	LIF	Leukemia inhibitory factor	3976
HV3H7	32609	LAMA4	Laminin, alpha 4	3910
HV3H8	811900	LTBR	Lymphotoxin beta receptor (TNFR superfamily, member 3)	4055
HV3H9	51447	FCGR3A	Fc fragment of IgG, low affinity IIIa, receptor (CD16a)	2214
HV3H11	770355	LSS	Lanosterol synthase (2,3-oxidosqualene-lanosterol cyclase)	4047
HV3H12	42558	GATM	Glycine amidinotransferase (L-arginine:glycine amidinotransferase)	2628
HV4A2	469345	KDR	Kinase insert domain receptor (a type III receptor tyrosine kinase)	3791
HV4A3	327676	KRT13	Keratin 13	3860
HV4A5	122428			
HV4A6	810325	IVD	Isovaleryl-CoA dehydrogenase	3712
HV4A8	823696	IFIT1	Interferon-induced protein with tetratricopeptide repeats 1	3434
HV4A9	727551	IRF2	Interferon regulatory factor 2	3660
HV4A10	811044	LOC100288432	Uncharacterized LOC100288432	100288432
HV4A11	754080	ICAM3	Intercellular adhesion molecule 3	3385
HV4B2	343072		Transcribed locus, moderately similar to XP_001508202.1 PREDICTED: integrin beta-1-like isoform 2 [Ornithorhynchus anatinus]	
HV4B5	770859	ITGB5	Integrin, beta 5	3693
HV4B6	811096	ITGB4	Integrin, beta 4	3691
HV4B7	233721	IGFBP2	Insulin-like growth factor binding protein 2, 36kDa	3485
HV4B8	148379	IGF1R	Insulin-like growth factor 1 receptor	3480
HV4B11	180803	INPP1	Inositol polyphosphate-1-phosphatase	3628
HV4B12	276091	ITPKB	Inositol-trisphosphate 3-kinase B	3707
HV4C1	240151	ID2	Inhibitor of DNA binding 2, dominant negative helix-loop-helix protein	3398
HV4C3	740925	IDO1	Indoleamine 2,3-dioxygenase 1	3620
HV4C4	810504	PLP2	Proteolipid protein 2 (colonic epithelium-enriched)	5355
HV4C6	810213	IL1R1	Interleukin 1 receptor, type I	3554
HV4C7	120106			
HV4C9	346117			
HV4C10	47900	IFNGR1	Interferon gamma receptor 1	3459
HV4D1	50754	MTIF2	Mitochondrial translational initiation factor 2	4528
HV4D2	39884	IMPDH1	IMP (inosine 5@#$%&-monophosphate) dehydrogenase 1	3614
HV4D3	23282	IK	IK cytokine, down-regulator of HLA II	3550
HV4D5	183194	CASP4	Caspase 4, apoptosis-related cysteine peptidase	837
HV4D7	126243	HMBS	Hydroxymethylbilane synthase	3145
HV4D10	811108	TRIP6	Thyroid hormone receptor interactor 6	7205
HV4D12	377320	TRIM32	Tripartite motif containing 32	22954
HV4E1	188232	KLF4	Kruppel-like factor 4 (gut)	9314
HV4E3	45138	VEGFC	Vascular endothelial growth factor C	7424
HV4E4	810600			
HV4E5	288896	KCNK1	Potassium channel, subfamily K, member 1	3775
HV4E8	341942	EIF2S1	Eukaryotic translation initiation factor 2, subunit 1 alpha, 35kDa	1965
HV4E9	199945			
HV4E10	127677	TRA2A	Transformer 2 alpha homolog (Drosophila)	29896
HV4E11	240367			
HV4F1	234736	GATA6	GATA binding protein 6	2627
HV4F2	727192	NFATC3	Nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 3	4775
HV4F3	725680			
HV4F6	46786	CNP	2@#$%&,3@#$%&-cyclic nucleotide 3@#$%& phosphodiesterase	1267
HV4F9	361171	KAT5	K(lysine) acetyltransferase 5	10524
HV4F10	110281	STX7	Syntaxin 7	8417
HV4F11	346552	SYMPK	Symplekin	8189
HV4F12	811843	SUOX	Sulfite oxidase	6821
HV4G1	28469	OXCT1	3-oxoacid CoA transferase 1	5019
HV4G3	547247			
HV4G4	31866	SF3A3	Splicing factor 3a, subunit 3, 60kDa	10946
HV4G7	250667	RAB9A	RAB9A, member RAS oncogene family	9367
HV4G8	292213	GNB2	Guanine nucleotide binding protein (G protein), beta polypeptide 2	2783
HV4G9	324210	SIGMAR1	Sigma non-opioid intracellular receptor 1	10280
HV4G10	823590	ST6GALNAC2	ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2	10610
HV4G11	813419	HSD17B10	Hydroxysteroid (17-beta) dehydrogenase 10	3028
HV4G12	813462	SIAH1	Siah E3 ubiquitin protein ligase 1	6477
HV4H2	280666	SEMA4D	Sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D	10507
HV4H3	813533	SDCBP	Syndecan binding protein (syntenin)	6386
HV4H4	303048	RPS6	Ribosomal protein S6	6194
HV4H7	187147	RIN2	Ras and Rab interactor 2	54453
HV4H8	321529	RAP2A	RAP2A, member of RAS oncogene family	5911
HV4H9	142122	AFAP1	Actin filament associated protein 1	60312
HV4H10	197176	GDI2	GDP dissociation inhibitor 2	2665
HV4H11	810331			
HV4H12	210887	ST13	Suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)	6767
HV5A2	755054	IL18R1	Interleukin 18 receptor 1	8809
HV5A3	47681	TRA2B	Transformer 2 beta homolog (Drosophila)	6434
HV5A4	810452	TOMM34	Translocase of outer mitochondrial membrane 34	10953
HV5A6	41658	FBXW2	F-box and WD repeat domain containing 2	26190
HV5A7	242037	SMOX	Spermine oxidase	54498
HV5A8	144816	SLC31A2	Solute carrier family 31 (copper transporters), member 2	1318
HV5A9	380797	RBM3	RNA binding motif (RNP1, RRM) protein 3	5935
HV5A10	809776	IL16	Interleukin 16	3603
HV5B1	166934	PCDHGC3	Protocadherin gamma subfamily C, 3	5098
HV5B2	771236	PCDH1	Protocadherin 1	5097
HV5B3	342378	DUSP5	Dual specificity phosphatase 5	1847
HV5B4	146123	PTPRK	Protein tyrosine phosphatase, receptor type, K	5796
HV5B5	42739	PTP4A1	Protein tyrosine phosphatase type IVA, member 1	7803
HV5B6	362853	TWF1	Twinfilin, actin-binding protein, homolog 1 (Drosophila)	5756
HV5B11	809784	KLK6	Kallikrein-related peptidase 6	5653
HV5B12	199403	LGALS8	Lectin, galactoside-binding, soluble, 8	3964
HV5C1	484641	SLCO2A1	Solute carrier organic anion transporter family, member 2A1	6578
HV5C3	682522	PCSK5	Proprotein convertase subtilisin/kexin type 5	5125
HV5C4	52431	SERINC3	Serine incorporator 3	10955
HV5C6	230385	PIP4K2B	Phosphatidylinositol-5-phosphate 4-kinase, type II, beta	8396
HV5C7	198372	INPP5E	Inositol polyphosphate-5-phosphatase, 72 kDa	56623
HV5C8	511832	PPARG	Peroxisome proliferator-activated receptor gamma	5468
HV5C9	770080	PXN	Paxillin	5829
HV5C11	753917	TM9SF2	Transmembrane 9 superfamily member 2	9375
HV5C12	296476	KAT2B	K(lysine) acetyltransferase 2B	8850
HV5D1	754093	NID2	Nidogen 2 (osteonidogen)	22795
HV5D2	246786			
HV5D3	221808	NAP1L4	Nucleosome assembly protein 1-like 4	4676
HV5D4	22918	EBNA1BP2	EBNA1 binding protein 2	10969
HV5D5	50614	SNW1	SNW domain containing 1	22938
HV5D6	206217	NR1H3	Nuclear receptor subfamily 1, group H, member 3	10062
HV5D7	241826	HMGN2	High mobility group nucleosomal binding domain 2	3151
HV5D8	31873	HMGN4	High mobility group nucleosomal binding domain 4	10473
HV5D11	190887	MYD88	Myeloid differentiation primary response gene (88)	4615
HV5D12	48614	ELF4	E74-like factor 4 (ets domain transcription factor)	2000
HV5E1	810743	MLF2	Myeloid leukemia factor 2	8079
HV5E2	172765	EXTL1	Exostoses (multiple)-like 1	2134
HV5E3	292212	ABCC5	ATP-binding cassette, sub-family C (CFTR/MRP), member 5	10057
HV5E7	134269			
HV5E8	193106	ATP5G3	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C3 (subunit 9)	518
HV5E9	213890	DECR1	2,4-dienoyl CoA reductase 1, mitochondrial	1666
HV5E11	232772	MT1B	Metallothionein 1B	4490
HV5E12	122915			
HV5F3	50188	RNF4	Ring finger protein 4	6047
HV5F4	26314	STXBP3	Syntaxin binding protein 3	6814
HV5F5	753914	ITPR2	Inositol 1,4,5-trisphosphate receptor, type 2	3709
HV5F7	730149	TCEA2	Transcription elongation factor A (SII), 2	6919
HV5F8	246304	BTG3	BTG family, member 3	10950
HV5F9	246120	PRMT1	Protein arginine methyltransferase 1	3276
HV5F11	810725	ATP6V0B	ATPase, H+ transporting, lysosomal 21kDa, V0 subunit b	533
HV5G1	823598	PSMD12	Proteasome (prosome, macropain) 26S subunit, non-ATPase, 12	5718
HV5G2	767049			
HV5G4	210405	PSME2	Proteasome (prosome, macropain) activator subunit 2 (PA28 beta)	5721
HV5G5	810124	PAFAH1B3	Platelet-activating factor acetylhydrolase 1b, catalytic subunit 3 (29kDa)	5050
HV5G6	33949	PRPSAP1	Phosphoribosyl pyrophosphate synthetase-associated protein 1	5635
HV5G7	754601	PLCL1	Phospholipase C-like 1	5334
HV5G8	130884	PCYT2	Phosphate cytidylyltransferase 2, ethanolamine	5833
HV5G11	176606	NELL2	NEL-like 2 (chicken)	4753
HV5H1	202577	HNMT	Histamine N-methyltransferase	3176
HV5H3	813673			
HV5H4	47647	HEATR2	HEAT repeat containing 2	54919
HV5H6	812196	UGCG	UDP-glucose ceramide glucosyltransferase	7357
HV5H7	726779	CNN1	Calponin 1, basic, smooth muscle	1264
HV5H8	810612	S100A11	S100 calcium binding protein A11	6282
HV5H9	31842	SLC35B1	Solute carrier family 35, member B1	10237
HV5H10	823940		Homo sapiens, clone IMAGE:4133978, mRNA	
HV5H11	230100			
HV5H12	343443	RBPMS	RNA binding protein with multiple splicing	11030
HV6A1	281465	PIGB	Phosphatidylinositol glycan anchor biosynthesis, class B	9488
HV6A2	810010	PDGFRL	Platelet-derived growth factor receptor-like	5157
HV6A5	665658	MSX2	Msh homeobox 2	4488
HV6A7	23772	LZTR1	Leucine-zipper-like transcription regulator 1	8216
HV6A8	810551	LRP1	Low density lipoprotein receptor-related protein 1	4035
HV6A12	364921	CTNND1	Catenin (cadherin-associated protein), delta 1	1500
HV6B1	381166	KAT6B	K(lysine) acetyltransferase 6B	23522
HV6B3	244801	ARHGEF11	Rho guanine nucleotide exchange factor (GEF) 11	9826
HV6B4	233199			
HV6B6	32472	SPECC1L	Sperm antigen with calponin homology and coiled-coil domains 1-like	23384
HV6B7	666639	TTC37	Tetratricopeptide repeat domain 37	9652
HV6B10	811029	SUGP2	SURP and G patch domain containing 2	10147
HV6C2	281904	UBR2	Ubiquitin protein ligase E3 component n-recognin 2	23304
HV6C4	35271	NRCAM	Neuronal cell adhesion molecule	4897
HV6C5	123061	RGPD4	RANBP2-like and GRIP domain containing 4	285190
HV6C6	753770	ZNF518A	Zinc finger protein 518A	9849
HV6C9	296190	ZFYVE26	Zinc finger, FYVE domain containing 26	23503
HV6C10	40844	AKAP6	A kinase (PRKA) anchor protein 6	9472
HV6C11	809944	SEC16A	SEC16 homolog A (S. cerevisiae)	9919
HV6C12	147630	CHD9	Chromodomain helicase DNA binding protein 9	80205
HV6D3	768031	MAST4	Microtubule associated serine/threonine kinase family member 4	375449
HV6D4	184038	SPTBN2	Spectrin, beta, non-erythrocytic 2	6712
HV6D5	233078	TECPR2	Tectonin beta-propeller repeat containing 2	9895
HV6D6	141763	ZNF609	Zinc finger protein 609	23060
HV6D7	756898	FAM168A	Family with sequence similarity 168, member A	23201
HV6D8	175103	CELSR2	Cadherin, EGF LAG seven-pass G-type receptor 2 (flamingo homolog, Drosophila)	1952
HV6D9	753420	DCUN1D4	DCN1, defective in cullin neddylation 1, domain containing 4 (S. cerevisiae)	23142
HV6D10	726678	SPOCK2	Sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2	9806
HV6D11	46154	BAP1	BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase)	8314
HV6D12	809541	BCL2L2	BCL2-like 2	599
HV6E2	20115	SLC9A6	Solute carrier family 9, subfamily A (NHE6, cation proton antiporter 6), member 6	10479
HV6E3	140716	KLHDC10	Kelch domain containing 10	23008
HV6E4	214448	RNF10	Ring finger protein 10	9921
HV6E5	301380	SLC35D1	Solute carrier family 35 (UDP-glucuronic acid/UDP-N-acetylgalactosamine dual transporter), member D1	23169
HV6E6	200136	TOPBP1	Topoisomerase (DNA) II binding protein 1	11073
HV6E7	295255	SNX19	Sorting nexin 19	399979
HV6E8	199645	NCSTN	Nicastrin	23385
HV6E9	110653	SMG7	Smg-7 homolog, nonsense mediated mRNA decay factor (C. elegans)	9887
HV6E11	767769		Transcribed locus	
HV6E12	358344	PHF3	PHD finger protein 3	23469
HV6F1	812042	TSC1	Tuberous sclerosis 1	7248
HV6F2	346995	UBXN4	UBX domain protein 4	23190
HV6F3	809779	PHF15	PHD finger protein 15	23338
HV6F4	756657	ZNF142	Zinc finger protein 142	7701
HV6F5	755752	PUM2	Pumilio homolog 2 (Drosophila)	23369
HV6F7	254625	ANKS1A	Ankyrin repeat and sterile alpha motif domain containing 1A	23294
HV6F8	809696	DHX38	DEAH (Asp-Glu-Ala-His) box polypeptide 38	9785
HV6F9	341317	ZNF516	Zinc finger protein 516	9658
HV6F10	119914	NPIPL3	Nuclear pore complex interacting protein-like 3	23117
HV6F11	40567	GCN1L1	GCN1 general control of amino-acid synthesis 1-like 1 (yeast)	10985
HV6F12	298118	DOCK2	Dedicator of cytokinesis 2	1794
HV6G1	195138	LPGAT1	Lysophosphatidylglycerol acyltransferase 1	9926
HV6G2	302031	SLK	STE20-like kinase	9748
HV6G3	23431	RB1CC1	RB1-inducible coiled-coil 1	9821
HV6G4	27104	MAML1	Mastermind-like 1 (Drosophila)	9794
HV6G5	40365	SCAP	SREBF chaperone	22937
HV6G6	33299	NUP160	Nucleoporin 160kDa	23279
HV6G7	362729			
HV6G9	43977	KIAA0182	KIAA0182	23199
HV6G10	112131	POFUT1	Protein O-fucosyltransferase 1	23509
